Year,Aktivitäten,Altersklasse,Value
2016,Installation von Software oder Anwendungen (Apps),25 bis unter 65 Jahre,66.0
2017,Installation von Software oder Anwendungen (Apps),25 bis unter 65 Jahre,65.0
2018,Installation von Software oder Anwendungen (Apps),25 bis unter 65 Jahre,
2019,Installation von Software oder Anwendungen (Apps),25 bis unter 65 Jahre,72.0
2010,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2011,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,32.0
2012,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,30.0
2013,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2014,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,33.0
2015,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2016,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2017,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2018,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2019,"Erstellung elektronischer Präsentationen mit Präsentationssoftware, z. B. mit Bildern, Ton, Video oder Diagrammen",25 bis unter 65 Jahre,
2010,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2011,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2012,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2013,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2014,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2015,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,35.0
2016,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,34.0
2017,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,37.0
2018,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,
2019,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",25 bis unter 65 Jahre,37.0
